Genus,Species,Year,Stream,State.Prov.,Country,Elev.m,Date,Lat,Lon,D.From.Source.m,Verified.Since.2010
Lednia,Lednia tumana,1996-2015,Jackson Glacier 3,MT,USA,1838,NA,48.6043,-113.6915,586,yes
Lednia,Lednia tumana,1996-2015,Jackson Glacier far east,MT,USA,1907,NA,48.605174,-113.68372,526,yes
Lednia,Lednia tumana,1996-2015,Jackstraw Lake 2,MT,USA,2022,NA,48.4142,-113.3732,0,yes
Lednia,Lednia tumana,1996-2015,Lake Ellen Wilson North,MT,USA,1908,NA,48.6071,-113.7573,606,yes
Lednia,Lednia tumana,1996-2015,Lake Ellen Wilson South,MT,USA,1950.5,NA,48.6073,-113.738,387,yes
Lednia,Lednia tumana,1996-2015,Logan Creek Spring,MT,USA,2062.5,NA,48.6984,-113.7313,428,yes
Lednia,Lednia tumana,1996-2015,Logan Creek Upper North,MT,USA,2131,NA,48.6977,-113.7333,0,yes
Lednia,Lednia tumana,1996-2015,Logging Saddle 2,MT,USA,1906.5,NA,48.8274,-113.9855,180,yes
Lednia,Lednia tumana,1996-2015,Lunch Creek,MT,USA,2111,NA,48.7099,-113.7043,548,yes
Lednia,Lednia tumana,1996-2015,McDonald Peak South Face,MT,USA,2544,NA,47.3754,-113.9212,90,yes
Lednia,Lednia tumana,1996-2015,Medicine Grizzly Lake,MT,USA,2176,NA,48.5627,-113.506,0,yes
Lednia,Lednia tumana,1996-2015,Miche Wabun Glacier 2,MT,USA,2092,NA,48.9478,-113.8381,0,yes
Lednia,Lednia tumana,1996-2015,Miche Wabun Glacier 3,MT,USA,2152,NA,48.9473,-113.833,0,yes
Lednia,Lednia tumana,1996-2015,Miche Wabun Glacier 4,MT,USA,2115,NA,48.9476,-113.8296,0,yes
Lednia,Lednia tumana,1997,Mineral Creek,MT,USA,2006.5,NA,48.844,-113.835,173,yes
Lednia,Lednia tumana,1996-2015,Morningstar,MT,USA,2137,NA,48.5503,-113.4661,0,yes
Lednia,Lednia tumana,1996-2015,Mt. James 2,MT,USA,2145,NA,48.5886,-113.4827,36,yes
Lednia,Lednia tumana,1996-2015,Mt. James 3,MT,USA,2170,NA,48.5934,-113.4853,170,yes
Lednia,Lednia tumana,1996-2015,No Name Lake 1,MT,USA,2009,NA,48.4842,-113.4634,316,yes
Lednia,Lednia tumana,1996-2015,Old Sun Glacier,MT,USA,1598,NA,48.8581,-113.7676,2302,yes
Lednia,Lednia tumana,1996-2015,Old Sun Glacier Pond,MT,USA,1673.5,NA,48.8598,-113.774,50,yes
Lednia,Lednia tumana,1996-2015,Piegan Glacier 2,MT,USA,1940,NA,48.7107,-113.6756,565,yes
Lednia,Lednia tumana,1996-2015,Piegan Pass High,MT,USA,2149.5,NA,48.7206,-113.6934,156,yes
Lednia,Lednia tumana,1996-2015,Piegan Spring,MT,USA,2308,NA,48.7032,-113.694,95,yes
Lednia,Lednia tumana,1996-2015,Preston Park,MT,USA,2245.5,NA,48.7233,-113.6399,300,yes
Lednia,Lednia tumana,1996-2015,Preston Park West 1,MT,USA,2282,NA,48.721,-113.6435,429,yes
Lednia,Lednia tumana,1996-2015,Rainbow Glacier,MT,USA,1425,NA,48.8738,-114.0602,1674,yes
Lednia,Lednia tumana,1996-2015,Red Eagle Meadows,MT,USA,1944,NA,48.5879,-113.6029,817,yes
Lednia,Lednia tumana,1996-2015,Reynolds Creek,MT,USA,2108.5,NA,48.6901,-113.7335,50.2,yes
Lednia,Lednia tumana,1996-2015,Reynolds Creek Spring,MT,USA,2150,NA,48.6826,-113.7305,238,yes
Lednia,Lednia tumana,1996-2015,Reynolds Creek West 1,MT,USA,2078,NA,48.6873,-113.733,13,yes
Lednia,Lednia tumana,1996-2015,Reynolds Moraine Seep,MT,USA,2166,NA,48.6882,-113.7361,59,yes
Lednia,Lednia tumana,1996-2015,Reynolds Mt. South Face 1,MT,USA,2245,NA,48.6657,-113.7285,59.7,yes
Lednia,Lednia tumana,2000,Reynolds Spring,MT,USA,2161.17,NA,48.703,-113.695,60.1,yes
Lednia,Lednia tumana,1996-2015,Rising Wolf North Face,MT,USA,1968,NA,48.5025,-113.4057,76.3,yes
Lednia,Lednia tumana,1996-2015,Rising Wolf South Face,MT,USA,1973,NA,48.4889,-113.4087,324,yes
Lednia,Lednia tumana,1996-2015,Sexton Glacier,MT,USA,1828.9,NA,48.7003,-113.6282,247,yes
Lednia,Lednia tumana,1996-2015,Sexton Glacier North,MT,USA,2248,NA,48.7113,-113.6234,44.3,yes
