Species,Present,Year,Stream,State.Prov.,Country,Elev.m,Date,GPS.Decimal.Degrees,Old.GPS.Coords,Publication,Lat,Lon
Lednia tumana,yes,1996-2015,Rainbow Glacier,MT,USA,1425,,"48.8738, -114.0602",,Giersch et al. 2017,48.8738,-114.0602
Lednia tumana,yes,1996-2015,Agassiz Glacier Main,MT,USA,1933,,"48.9436, -114.1417",,Giersch et al. 2017,48.9436,-114.1417
Lednia tumana,yes,1996-2015,Agassiz Glacier Main,MT,USA,1821,,"48.947, -114.1403",,Giersch et al. 2017,48.947,-114.1403
Lednia tumana,yes,1996-2015,Sexton Glacier,MT,USA,1691,,"48.6972, -113.6168",,Giersch et al. 2017,48.6972,-113.6168
Lednia tumana,yes,1996-2015,Old Sun Glacier,MT,USA,1613,,"48.8581, -113.7676",,Giersch et al. 2017,48.8581,-113.7676
Lednia tumana,yes,1996-2015,Sexton Glacier,MT,USA,1680,,"48.6958, -113.6158",,Giersch et al. 2017,48.6958,-113.6158
Lednia tumana,yes,1996-2015,Old Sun Glacier,MT,USA,1583,,"48.8564, -113.7628",,Giersch et al. 2017,48.8564,-113.7628
Lednia tumana,yes,1996-2015,Piegan Glacier 2,MT,USA,1971,,"48.7107, -113.6756",,Giersch et al. 2017,48.7107,-113.6756
Lednia tumana,yes,1996-2015,Tunnel Creek,MT,USA,1632,,"48.3309, -113.7374",,Giersch et al. 2017,48.3309,-113.7374
Lednia tumana,yes,1996-2015,Tunnel Creek,MT,USA,1357,,"48.3339, -113.7284",,Giersch et al. 2017,48.3339,-113.7284
Lednia tumana,yes,1996-2015,McDonald Peak South Face,MT,USA,2544,,"47.3754, -113.9212",,Giersch et al. 2017,47.3754,-113.9212
Lednia tumana,yes,1996-2015,Bearhat Mtn./Hidden Lk.,MT,USA,1952,,"48.66501, -113.74906",,"Hotaling et al., in press",48.66501,-113.74906
Lednia tumana,yes,,Grant Glacier,MT,USA,1613,,"48.33141, -113.73687",,"Hotaling et al., in press",48.33141,-113.73687
Lednia tumana,yes,,Heavens Peak,MT,USA,2024,,"48.71022, -113.84266",,"Hotaling et al., in press",48.71022,-113.84266
Lednia tumana,yes,,Lunch Creek,MT,USA,2150,,"48.70524, -113.70455",,"Hotaling et al., in press",48.70524,-113.70455
Lednia tumana,yes,,Sexton Glacier,MT,USA,1995,,"48.7003, -113.62808",,"Hotaling et al., in press",48.7003,-113.62808
Lednia tumana,yes,,Siyeh Bend,MT,USA,1943,,"48.71149, -113.67512",,"Hotaling et al., in press",48.71149,-113.67512
