Species,Present,Year,Stream,State.Prov.,Country,Elev.m,Date,GPS.Decimal.Degrees,Old.GPS.Coords,Publication,Lat,Lon
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,1960,North Boulder Creek 1,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 2,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 3,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 4,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 5,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 6,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 7,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 8,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 9,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 10,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 11,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 12,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 13,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 14,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Other,no,1960,North Boulder Creek 15,CO,USA,3300,Summer,will need to approximate,,Elgmork & Saether (1970),will need to approximate,
Lednia sierra,no/yes,NA,NA,NA,NA,NA,NA,NA,NA,"David Herbst, wiating for repsonse",NA,
Lednia borealis,Sampled 110 sites from 1994-2001,NA,NA,"Not sure if any of this is useful...MDG: Could be if we can get site info, not publically available",NA,NA,NA,NA,NA,"Kondratieff and Lechleitner, 2002",NA,
Lednia borealis,yes,2000,Fryingpan Creek (bridge),WA,USA,1162,16-Jul,"46.888168, -121.609862",,"Kondratieff and Lechleitner, 2002",46.888168,-121.609862
Lednia borealis,yes,1989,Redoubt Lake,WA,USA,1615,29-Aug,"48.97380, -121.31214",,"Baumann and Kondratieff, 2010",48.9738,-121.31214
Lednia borealis,yes,1987,Upper Bagley Lake,WA,USA,1341,30-Jul,"48.853532, -121.691577",,"Baumann and Kondratieff, 2010",48.853532,-121.691577
Lednia borealis,yes,1989,Nert Lake,WA,USA,1389,11-Sep,"48.70487, -121.50160",,"Baumann and Kondratieff, 2010",48.70487,-121.5016
Lednia borealis,yes,1989,No Name Lake,WA,USA,1171,24-Aug,"48.85027, -121.11291",,"Baumann and Kondratieff, 2010",48.85027,-121.11291
Lednia borealis,yes,1989,Price Lake,WA,USA,1192,6-Sep,"48.85365, -121.60296",,"Baumann and Kondratieff, 2010",48.85365,-121.60296
Lednia borealis,yes,1989,Middle Tapto Lake,WA,USA,1747,8-Sep,"48.88256, -121.36928",,"Baumann and Kondratieff, 2010",48.88256,-121.36928
Lednia borealis,yes,2018,Upper Lyman 2,WA,USA,1810,11-Aug,"48.18055, -120.89793",,"Blevins/Fallon, unpublished",48.18055,-120.89793
Lednia borealis,yes,2018,#4 White Chuck-Red Pass Fk,WA,USA,1736,18-Aug,"48.0472761, -121.159461",,"Blevins/Fallon, unpublished",48.0472761,-121.159461
Lednia borealis,yes,2014,Colchuck Lake Inlet,WA,USA,1705,8-Aug,"47.488737, -120.837080",,"S. Hotaling, Unpublished",47.488737,-120.83708
Lednia borealis,yes,2010,Snow Lakes 1,WA,USA,1433,"23 Aug, 25 Aug, 8 Sept","46.757046, -121.6989",,Kubo et al. 2012,46.757046,-121.6989
Lednia sierra,yes,1985,South Fork Big Pine Creek,CA,USA,3353,27-Aug,"37.102962, -118.483304",,"Baumann and Kondratieff, 2010",37.102962,-118.483304
Lednia sierra,yes,2010,Ruby Creek,CA,USA,3450,27-Aug,"37.41138889, -118.77027778",,"Baumann and Kondratieff, 2010",37.41138889,-118.7702778
Lednia sierra,yes,2010,Cold Water Creek,CA,USA,3063,19-Aug,"37.574270, -118.988368",,"Baumann and Kondratieff, 2010.Presence reconfimred M. Green, unpublished July 14, 2018",37.57427,-118.988368
Lednia sierra,yes,1986,Coness Lake inlet,CA,USA,3414,11-Aug,"37.972288, -119.314058",,"Baumann and Kondratieff, 2010",37.972288,-119.314058
Lednia sierra,yes,2015,Sky Meadows,CA,USA,3107,2015?,"37.571604,-118.9875",,"Hotaling et al., in press",37.571604,-118.9875
